GAME_NAME,GENRE
Atelier Totori: The Adventurer of Arland,Role-Playing
Genji Koi Emaki,Action
Cosmos Chaos!,Misc
Sakura Taisen Hanagumi Tsuushin,Misc
Sword Art Online: Lost Song,Role-Playing
Over the Hedge,Platform
Micro Machines V3,Racing
Alone in the Dark,Adventure
Forza Motorsport 3: Ultimate Edition,Racing
Downstream Panic!,Action
Air Traffic Chaos,Simulation
Samurai Champloo: Sidetracked,Action
EverQuest II: Destiny of Velious,Role-Playing
Cabelas African Safari,Sports
Eureka Seven Vol. 2: The New Vision,Shooter
ESPN NFL Football,Sports
Final Fantasy XI: Ultimate Collection,Role-Playing
MX vs. ATV Unleashed: On the Edge,Racing
Yu-Gi-Oh! World Championship 2008,Strategy
Group S Challenge,Racing
Dreamfall: The Longest Journey,Adventure
Thief: Deadly Shadows,Action
Lost: Via Domus,Action
Motto TOEIC Test DS Training,Misc
Jake Hunter: Detective Chronicles,Adventure
XI Coliseum,Puzzle
Robopon 2: Ring Version,Role-Playing
AIR,Adventure
Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,Action
Garfield and His Nine Lives,Action
Mega Man II,Platform
Counter Force,Shooter
Cartoon Network: Punch Time Explosion,Fighting
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,Adventure
Strike Force Bowling,Sports
Yakuza 5,Action
The Humans: Meet the Ancestors!,Puzzle
Steins;Gate: Hiyoku Renri no Darling,Adventure
Monster Garage,Strategy
Hankou Shashin,Adventure
Team Elimination Games,Misc
Machi-Ing Maker DS,Simulation
Guilty Gear XX Accent Core Plus,Fighting
Sega Golf Club: Miyazato San Kyoudai Naizou,Sports
Monster 4X4: World Circuit,Racing
Disney Infinity 3.0,Action
SpongeBob SquigglePants,Misc
Bloody Roar,Fighting
Penny Racers,Racing
Counter-Strike,Shooter
Moe Moe 2-Ji Daisenryaku 2,Strategy
Dr. Muto,Platform
Bomberman (jp sales),Puzzle
Ice Climber,Platform
Hannah Montana,Action
Naruto: Uzumaki Chronicles 2,Action
SolarStriker,Shooter
Fable II,Role-Playing
Jump Super Stars,Fighting
New Super Mario Bros. U,Platform
Junjou Romanchika: Koi no Doki Doki Daisakusen,Adventure
Elminage Gothic: Ulm Zakir to Yami no Gishiki,Role-Playing
FIFA 12,Sports
