GAME_NAME,PLATFORM,PUBLISHER
Uncharted: Drakes Fortune,PS3,Sony Computer Entertainment
Madden NFL 06,PS2,Electronic Arts
Diddy Kong Racing,N64,Nintendo
Monster Hunter Freedom 3,PSP,Capcom
StarCraft II: Wings of Liberty,PC,Activision
Dr. Mario,NES,Nintendo
Assassins Creed,PS3,Ubisoft
God of War III,PS3,Sony Computer Entertainment
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment
Crash Team Racing,PS,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,DS,LucasArts
Driver 2,PS,Atari
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment
The Simpsons: Hit & Run,PS2,Vivendi Games
Tony Hawks Pro Skater 2,PS,Activision
The Lord of the Rings: The Two Towers,PS2,Electronic Arts
Tomb Raider,PS,Eidos Interactive
Animal Crossing: City Folk,Wii,Nintendo
Luigis Mansion: Dark Moon,3DS,Nintendo
Minecraft,PS4,Sony Computer Entertainment Europe
Halo 5: Guardians,XOne,Microsoft Game Studios
The Legend of Zelda: A Link to the Past,SNES,Nintendo
The Legend of Zelda: The Wind Waker,GC,Nintendo
Guitar Hero III: Legends of Rock,Wii,Activision
Forza Motorsport 4,X360,Microsoft Game Studios
Splatoon,WiiU,Nintendo
Mario & Sonic at the Olympic Winter Games,Wii,Sega
Madden NFL 2005,PS2,Electronic Arts
Guitar Hero III: Legends of Rock,X360,Activision
The Legend of Zelda: Ocarina of Time,3DS,Nintendo
Pitfall!,2600,Activision
Madden NFL 07,PS2,Electronic Arts
Spider-Man: The Movie,PS2,Activision
Super Mario 3D World,WiiU,Nintendo
Dragon Quest VII: Warriors of Eden,PS,Enix Corporation
God of War,PS2,Sony Computer Entertainment
Nintendo Land,WiiU,Nintendo
Tony Hawks Pro Skater 3,PS2,Activision
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami Digital Entertainment
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive
Zelda II: The Adventure of Link,NES,Nintendo
Call of Duty: Advanced Warfare,PS3,Activision
Fallout 4,XOne,Bethesda Softworks
Need for Speed: Most Wanted,PS2,Electronic Arts
Michael Jackson: The Experience,Wii,Ubisoft
Resistance: Fall of Man,PS3,Sony Computer Entertainment
Sonic the Hedgehog,GEN,Sega
Kingdom Hearts II,PS2,Square Enix
Call of Duty: Advanced Warfare,X360,Activision
Asteroids,2600,Atari
FIFA 15,PS3,Electronic Arts
Fable II,X360,Microsoft Game Studios
Batman: Arkham Asylum,PS3,Eidos Interactive
Namco Museum,GBA,Namco Bandai Games
Metal Gear Solid 3: Snake Eater,PS2,Konami Digital Entertainment
FIFA 14,X360,Electronic Arts
Assassins Creed: Revelations,PS3,Ubisoft
Daxter,PSP,Sony Computer Entertainment
Warcraft II: Tides of Darkness,PC,Activision
FIFA Soccer 06,PS2,Electronic Arts
EyeToy Play,PS2,Sony Computer Entertainment
Assassins Creed: Revelations,X360,Ubisoft
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment
FIFA 12,X360,Electronic Arts
Teenage Mutant Ninja Turtles,NES,Palcom
Street Fighter IV,PS3,Capcom
Excitebike,NES,Nintendo
Frogger,PS,Hasbro Interactive
Madden NFL 2003,PS2,Electronic Arts
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games
Half-Life,PC,Vivendi Games
Super Mario World 2: Yoshis Island,SNES,Nintendo
FIFA Soccer 07,PS2,Electronic Arts
Street Fighter II Turbo,SNES,Capcom
Watch Dogs,PS4,Ubisoft
World of Warcraft: The Burning Crusade,PC,Activision
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment
God of War II,PS2,Sony Computer Entertainment
Far Cry 4,PS4,Ubisoft
Fallout: New Vegas,X360,Bethesda Softworks
World Soccer Winning Eleven 9,PS2,Konami Digital Entertainment
Carnival Games,Wii,Take-Two Interactive
Forza Motorsport 2,X360,Microsoft Game Studios
Namco Museum Vol.3,PS,Sony Computer Entertainment
Tekken Tag Tournament,PS2,Namco Bandai Games
Star Fox 64,N64,Nintendo
Golf,NES,Nintendo
Tom Clancys The Division,PS4,Ubisoft
Assassins Creed: Unity,PS4,Ubisoft
Namco Museum: 50th Anniversary,PS2,Namco Bandai Games
Left 4 Dead 2,X360,Electronic Arts
Fallout 3,PS3,Bethesda Softworks
The Legend of Zelda: Skyward Sword,Wii,Nintendo
Professor Layton and the Diabolical Box,DS,Nintendo
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks
Nintendogs + cats,3DS,Nintendo
Monster Hunter 4 Ultimate,3DS,Nintendo
Star Wars Battlefront (2015),XOne,Electronic Arts
Donkey Kong Land,G,Nintendo
EA Sports Active,Wii,Electronic Arts
NBA 2K16,PS4,Take-Two Interactive
Tony Hawks Underground,PS2,Activision
Tekken 5,PS2,Namco Bandai Games
Dragon Warrior III,NES,Enix Corporation
MotorStorm,PS3,Sony Computer Entertainment
Final Fantasy V,SNES,SquareSoft
Twisted Metal 2,PS,Sony Computer Entertainment
LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive Entertainment
The Sims: Bustin Out,PS2,Electronic Arts
Madden NFL 16,XOne,Electronic Arts
Riven: The Sequel to Myst,PC,Red Or
uDraw Studio,Wii,THQ
Sonic Adventure,DC,Sega
Ice Hockey,NES,Nintendo
Tom Clancys Rainbow Six: Vegas 2,X360,Ubisoft
Tomb Raider (2013),PS3,Square Enix
Need for Speed Carbon: Own the City,PSP,Electronic Arts
Dragon Ball Z: Budokai 2,PS2,Atari
pro evolution soccer 2011,PS3,Konami Digital Entertainment
ATV Offroad Fury,PS2,Sony Computer Entertainment
Dino Crisis,PS,Capcom
Need for Speed: ProStreet,PS2,Electronic Arts
Halo: Combat Evolved Anniversary,X360,Microsoft Game Studios
Tetris Plus,PS,JVC
Pro Wrestling,NES,Nintendo
Theme Hospital,PC,Electronic Arts
Froggers Adventures: Temple of the Frog,GBA,Konami Digital Entertainment
Madden NFL 11,PS3,Electronic Arts
Monopoly,PC,Hasbro Interactive
NBA 2K17,PS4,Take-Two Interactive
