GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
Grand Theft Auto,PS,Take-Two Interactive,1997
James Bond 007: Everything or Nothing,PS2,Electronic Arts,2004
Need For Speed: High Stakes,PS,Electronic Arts,1999
Chrono Trigger,SNES,SquareSoft,1995
Cool Boarders 3,PS,989 Studios,1998
Tom Clancys The Division,XOne,Ubisoft,2016
Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,2013
WarioWare Touched!,DS,Nintendo,2004
Yokai Watch Busters,3DS,Level 5,2015
LEGO Star Wars: The Complete Saga,PS3,LucasArts,2007
Tomb Raider II,PC,Eidos Interactive,1997
Need for Speed Underground 2,X,Electronic Arts,2004
LEGO Harry Potter: Years 1-4,DS,Warner Bros. Interactive Entertainment,2010
Pro Evolution Soccer 2010,PS3,Konami Digital Entertainment,2009
Tom Clancys Rainbow Six: Siege,PS4,Ubisoft,2015
The Sims 3,X360,Electronic Arts,2010
Mario Bros.,NES,Nintendo,1983
FIFA Soccer 09,PS2,Electronic Arts,2008
Pokemon Ranger: Shadows of Almia,DS,Nintendo,2008
TOCA Touring Car Championship,PS,Codemasters,1997
Sonics Ultimate Genesis Collection,PS3,Sega,2009
Dead Island,PS3,Deep Silver,2011
Kirby: Nightmare in Dream Land,GBA,Nintendo,2002
Wario Land 4,GBA,Nintendo,2001
Madden NFL 25,X360,Electronic Arts,2013
Yokai Watch,3DS,Nintendo,2013
Gears of War 4,XOne,Microsoft Game Studios,2016
Forza Motorsport 5,XOne,Microsoft Game Studios,2013
Onimusha 2: Samurais Destiny,PS2,Capcom,2002
Madden NFL 12,PS3,Electronic Arts,2011
Cool Boarders 2,PS,UEP Systems,1997
Paper Mario: The Thousand-Year Door,GC,Nintendo,2004
LEGO Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment,2013
God of War: Ascension,PS3,Sony Computer Entertainment,2013
Guitar Hero III: Legends of Rock,PS3,Activision,2007
Sonic Advance,GBA,Sega,2001
Assassins Creed IV: Black Flag,XOne,Ubisoft,2013
Super Monkey Ball: Banana Blitz,Wii,Sega,2006
Just Dance Kids,Wii,Ubisoft,2010
Call of Duty 3,Wii,Activision,2006
New Super Luigi U,WiiU,Nintendo,2013
Dissidia: Final Fantasy,PSP,Square Enix,2008
Spyro: Season of Ice,GBA,Vivendi Games,2001
Borderlands 2,PS3,Take-Two Interactive,2012
Fallout: New Vegas,X360,Bethesda Softworks,2010
World Soccer Winning Eleven 9,PS2,Konami Digital Entertainment,2005
Carnival Games,Wii,Take-Two Interactive,2007
Forza Motorsport 2,X360,Microsoft Game Studios,2007
Namco Museum Vol.3,PS,Sony Computer Entertainment,1996
